# 文档清单：id, 标题, 类别, URL, 子类别
# 类别: home=主文档 guide=攻略章节 appendix=附录
# 子类别: nav=导航 policy=政策 experience=经验 tool=工具 org=组织 life=生活
home,信科院-从入学到被开除(主页),home,https://tralis2671.feishu.cn/wiki/VvKVwsHo2iIIC4ko0PmcKs4lnKd,nav
guide01,新生指南补缺,guide,https://tralis2671.feishu.cn/wiki/DYhvw9owZivrJskU5LicGl06nAg,experience
guide02,常用链接,guide,https://bcnjr89bg80t.feishu.cn/wiki/ZFQ4wlelJiOUkAk3L7tcn94xnKe,tool
guide03,大学政策简解,guide,https://bcnjr89bg80t.feishu.cn/wiki/HgtnwqvJUiKv58k7j3jcN0s4npg,policy
guide04,学生组织介绍,guide,https://bcnjr89bg80t.feishu.cn/wiki/DZUOwmJKLi6kRfkwT5Schjg3n3f,org
guide05,学术发展规划,guide,https://bcnjr89bg80t.feishu.cn/wiki/GF54wCHgUiOSmdkYSTIcVSWwncb,policy
guide06,就业发展规划,guide,https://bcnjr89bg80t.feishu.cn/wiki/D17ewTvi8iImXbkBxS0cVt0un0O,experience
guide07,竞赛指导,guide,https://bcnjr89bg80t.feishu.cn/wiki/NCo9wYAxJilSEVkiQe8cBWBInfb,experience
guide08,情感与生活指南,guide,https://bcnjr89bg80t.feishu.cn/wiki/RyTMwuuXri2JSckbc6ycZOdknYf,experience
guide09,效率工具推荐,guide,https://tralis2671.feishu.cn/wiki/ZATTw8ddKiJwD7k4OLicQGswnad,tool
guide10,美食娱乐排行,guide,https://bcnjr89bg80t.feishu.cn/wiki/W1sRwXaB7iXYxrk5XKxcgivrnxg,life
guide11,Git使用指南,guide,https://tralis2671.feishu.cn/wiki/PZfdwamzGirDqOkrIIwcFIzbnlh,tool
appendix01,林家络的恋爱教学笔记,appendix,https://tralis2671.feishu.cn/wiki/QVxYwRDzxiESxMkDEPCc1zrlnaf,experience
appendix02,不知来源的焚诀,appendix,https://tralis2671.feishu.cn/wiki/ZnF4wWRGRi4Rk0kqTo4c6zz4n0b,experience
appendix03,学习指南(权限观看),appendix,https://tralis2671.feishu.cn/wiki/FCATwwKbziiC7zkAL64cl3EXnCf,tool
appendix04,复习资料(权限观看),appendix,https://tralis2671.feishu.cn/wiki/ZkVTwvg7kio8vhkyuKZcthHvnWd,tool
appendix05,无限战队,appendix,https://tralis2671.feishu.cn/wiki/SVZ5wPoooiKqMkvBhScDAvPnFd,org
appendix06,SSR战队,appendix,https://tralis2671.feishu.cn/wiki/Vi6xw6sOgi6ZtAk2PHBcKVkXn2b,org
appendix07,追求策略的多元视角实证研究,appendix,https://tralis2671.feishu.cn/wiki/B4WBwQcwXiY1F1kgPJ5c4cDZnVe,experience
appendix08,健身指北,appendix,https://tralis2671.feishu.cn/wiki/VpjFw9xQkiHxu6k7BnTcad2Dnmh,experience
appendix09,笔记本电脑推荐——面向所有大学生的推荐向,appendix,https://tralis2671.feishu.cn/wiki/Y9OIw8JXKiGsdtkP5RCcDxc3nge,tool
appendix10,AntX6快速上手,appendix,https://tralis2671.feishu.cn/wiki/Q0dGw8AnQiNU3GkrMd2cfA2zn6b,tool
appendix11,全流程踩坑复盘,appendix,https://tralis2671.feishu.cn/wiki/FpbNwjV0Liem9jkZmyncucr8nKe,experience
guide12,RAG知识库问答实战指南,guide,https://tralis2671.feishu.cn/wiki/ER4mw1RcKi3RkPkUd08cZgHEneb,tool
guide13,套壳聊天机器人实战,guide,,tool
course02_github_agent,GitHub 项目分析 Agent,guide,https://tralis2671.feishu.cn/wiki/Urq6w7wOiiAFe4kzGnmciPxYnCd,tool
